participant,file,passage_raw_any-disfluency_count,passage_perWord_any-disfluency_count,passage_perSyllable_any-disfluency_count,passage_raw_correction-syll_count,passage_perWord_correction-syll_count,passage_perSyllable_correction-syll_count,passage_raw_any-error_count,passage_perWord_any-error_count,passage_perSyllable_any-error_count,phrase,phrase_passage_count,actualPhrase,phrase_raw_any-disfluency_count,phrase_perWord_any-disfluency_count,phrase_perSyllable_any-disfluency_count,phrase_raw_correction-syll_count,phrase_perWord_correction-syll_count,phrase_perSyllable_correction-syll_count,phrase_raw_any-error_count,phrase_perWord_any-error_count,phrase_perSyllable_any-error_count,actualExtendedPhrase,withinFiveSylls_raw_any-disfluency_count,withinFiveSylls_perWord_any-disfluency_count,withinFiveSylls_perSyllable_any-disfluency_count,withinFiveSylls_raw_correction-syll_count,withinFiveSylls_perWord_correction-syll_count,withinFiveSylls_perSyllable_correction-syll_count,withinFiveSylls_raw_any-error_count,withinFiveSylls_perWord_any-error_count,withinFiveSylls_perSyllable_any-error_count
sub-3300002,sandals_11g_all-cols.csv,12,0.061224489795918366,0.034782608695652174,17,0.08673469387755102,0.04927536231884058,17,0.08673469387755102,0.04927536231884058,emblematic,1,emblematic emblematic emblematic emblematic,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,sandals has marked them as emblematic emblematic emblematic emblematic of leisure leisure and refinement,0,0.0,0.0,3,0.3,0.21428571428571427,2,0.2,0.14285714285714285
sub-3300002,roses_11g_all-cols.csv,11,0.06111111111111111,0.03618421052631579,18,0.1,0.05921052631578947,16,0.08888888888888889,0.05263157894736842,emblematic,1,emblematic emblematic emblematic emblematic,1,1.0,0.25,0,0.0,0.0,2,2.0,0.5,to the purest purest white emblematic emblematic emblematic emblematic of innocence innocence innocence and,1,0.125,0.07142857142857142,0,0.0,0.0,2,0.25,0.14285714285714285
sub-3300002,pens_11g_all-cols.csv,8,0.043243243243243246,0.025,14,0.07567567567567568,0.04375,11,0.05945945945945946,0.034375,emblematic,1,emblematic emblematic emblematic emblematic,1,1.0,0.25,0,0.0,0.0,0,0.0,0.0,precedence precedence precedence the pen's emblematic emblematic emblematic emblematic worth persists persists it stands,1,0.125,0.07142857142857142,0,0.0,0.0,0,0.0,0.0
sub-3300002,sandals_11g_all-cols.csv,12,0.061224489795918366,0.034782608695652174,17,0.08673469387755102,0.04927536231884058,17,0.08673469387755102,0.04927536231884058,diverse,1,diverse diverse,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,and refinement refinement refinement their diverse diverse styles styles mirror mirror global,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,roses_11g_all-cols.csv,11,0.06111111111111111,0.03618421052631579,18,0.1,0.05921052631578947,16,0.08888888888888889,0.05263157894736842,diverse,1,diverse diverse,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,intoxicating intoxicating scent in their diverse diverse palette palette one can find,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,sparrows_11g_all-cols.csv,8,0.043243243243243246,0.02416918429003021,7,0.03783783783783784,0.021148036253776436,15,0.08108108108108109,0.045317220543806644,diverse,1,diverse diverse,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,ability ability to thrive in diverse diverse conditions conditions conditions showcases showcases,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,boots_11g_all-cols.csv,7,0.035,0.019886363636363636,12,0.06,0.03409090909090909,23,0.115,0.06534090909090909,diverse,1,diverse diverse,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,rich history history history and diverse diverse design design variations variations variations,0,0.0,0.0,0,0.0,0.0,1,0.16666666666666666,0.08333333333333333
sub-3300002,boots_11g_all-cols.csv,7,0.035,0.019886363636363636,12,0.06,0.03409090909090909,23,0.115,0.06534090909090909,leather,1,leather leather,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,composition primarily primarily primarily primarily leather leather offers offers durability durability durability,0,0.0,0.0,5,1.0,0.4166666666666667,2,0.4,0.16666666666666666
sub-3300002,oak_11g_all-cols.csv,14,0.07291666666666667,0.04375,12,0.0625,0.0375,10,0.052083333333333336,0.03125,use,1,infuse infuse,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,embodied embodied by oak trees infuse infuse the surrounding surrounding surrounding landscape,2,0.25,0.16666666666666666,0,0.0,0.0,0,0.0,0.0
sub-3300002,trucks_11g_all-cols.csv,6,0.030927835051546393,0.01744186046511628,24,0.12371134020618557,0.06976744186046512,17,0.08762886597938144,0.04941860465116279,use,1,household household,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,controls controls and even even household household amenities amenities amenities amenities their,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,blackberries_11g_all-cols.csv,9,0.05142857142857143,0.02857142857142857,11,0.06285714285714286,0.03492063492063492,10,0.05714285714285714,0.031746031746031744,use,1,used,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,velvety velvety velvety black when used in culinary culinary culinary culinary,2,0.3333333333333333,0.18181818181818182,0,0.0,0.0,0,0.0,0.0
sub-3300002,pens_11g_all-cols.csv,8,0.043243243243243246,0.025,14,0.07567567567567568,0.04375,11,0.05945945945945946,0.034375,use,1,user's user's,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,smoothly smoothly demands demands its user's user's attention attention attention ensuring ensuring,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,muffins_11g_all-cols.csv,7,0.033816425120772944,0.018518518518518517,24,0.11594202898550725,0.06349206349206349,20,0.0966183574879227,0.05291005291005291,use,1,infused infused,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,can be thoughtfully thoughtfully thoughtfully infused infused with blueberries blueberries blueberries chocolate,0,0.0,0.0,0,0.0,0.0,1,0.14285714285714285,0.08333333333333333
sub-3300002,elephant_11g_all-cols.csv,11,0.05555555555555555,0.031791907514450865,32,0.16161616161616163,0.09248554913294797,13,0.06565656565656566,0.03757225433526012,use,2,confused confused,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,gentleness should never never be confused confused with weakness weakness when confronted,1,0.1111111111111111,0.08333333333333333,3,0.3333333333333333,0.25,1,0.1111111111111111,0.08333333333333333
