participant,passageName,recalled,errorCount,disfluencyCount,errorsPerSyllable,disfluenciesPerSyllable,errorsPerWord,disfluenciesPerWord
sub-3300008,finches_11g_all-cols,0,11,11,0.03470031545741325,0.03470031545741325,0.061452513966480445,0.061452513966480445
sub-3300008,muffins_11g_all-cols,0,7,2,0.018518518518518517,0.005291005291005291,0.033816425120772944,0.00966183574879227
sub-3300008,elephant_11g_all-cols,0,7,5,0.02023121387283237,0.014450867052023121,0.03535353535353535,0.025252525252525252
sub-3300008,roses_11g_all-cols,1,14,2,0.046052631578947366,0.006578947368421052,0.07777777777777778,0.011111111111111112
sub-3300008,pencils_11g_all-cols,1,12,3,0.03680981595092025,0.009202453987730062,0.06282722513089005,0.015706806282722512
sub-3300009,blackberries_11g_all-cols,1,24,12,0.0761904761904762,0.0380952380952381,0.13714285714285715,0.06857142857142857
sub-3300009,boots_11g_all-cols,0,12,15,0.03409090909090909,0.04261363636363636,0.06,0.075
sub-3300009,cars_11g_all-cols,1,12,7,0.03519061583577713,0.020527859237536656,0.06153846153846154,0.035897435897435895
sub-3300009,cupcakes_11g_all-cols,1,27,17,0.0743801652892562,0.046831955922865015,0.135,0.085
sub-3300009,elephant_11g_all-cols,1,14,6,0.04046242774566474,0.017341040462427744,0.0707070707070707,0.030303030303030304
sub-3300009,finches_11g_all-cols,0,15,4,0.0473186119873817,0.012618296529968454,0.08379888268156424,0.0223463687150838
sub-3300009,giraffe_11g_all-cols,1,22,11,0.06358381502890173,0.031791907514450865,0.1116751269035533,0.05583756345177665
sub-3300009,muffins_11g_all-cols,0,21,6,0.05555555555555555,0.015873015873015872,0.10144927536231885,0.028985507246376812
sub-3300009,oak_11g_all-cols,0,41,8,0.128125,0.025,0.21354166666666666,0.041666666666666664
sub-3300009,pencils_11g_all-cols,1,30,8,0.09202453987730061,0.024539877300613498,0.15706806282722513,0.041884816753926704
sub-3300009,pens_11g_all-cols,1,15,8,0.046875,0.025,0.08108108108108109,0.043243243243243246
sub-3300009,pine_11g_all-cols,0,53,14,0.16408668730650156,0.043343653250773995,0.27461139896373055,0.07253886010362694
sub-3300009,raspberries_11g_all-cols,1,20,21,0.05865102639296188,0.06158357771260997,0.10471204188481675,0.1099476439790576
sub-3300009,roses_11g_all-cols,1,24,10,0.07894736842105263,0.03289473684210526,0.13333333333333333,0.05555555555555555
sub-3300009,sandals_11g_all-cols,0,22,7,0.06376811594202898,0.020289855072463767,0.11224489795918367,0.03571428571428571
sub-3300009,sparrows_11g_all-cols,0,23,8,0.06948640483383686,0.02416918429003021,0.12432432432432433,0.043243243243243246
sub-3300009,trucks_11g_all-cols,0,14,9,0.040697674418604654,0.02616279069767442,0.07216494845360824,0.04639175257731959
sub-3300009,tulips_11g_all-cols,1,13,11,0.04024767801857585,0.034055727554179564,0.06701030927835051,0.05670103092783505
sub-3300014,pine_11g_all-cols,1,31,8,0.09597523219814241,0.02476780185758514,0.16062176165803108,0.04145077720207254
sub-3300014,elephant_11g_all-cols,0,18,7,0.05202312138728324,0.02023121387283237,0.09090909090909091,0.03535353535353535
sub-3300014,sparrows_11g_all-cols,1,28,15,0.08459214501510574,0.045317220543806644,0.15135135135135136,0.08108108108108109
sub-3300014,trucks_11g_all-cols,0,23,15,0.06686046511627906,0.0436046511627907,0.11855670103092783,0.07731958762886598
sub-3300014,muffins_11g_all-cols,1,36,13,0.09523809523809523,0.03439153439153439,0.17391304347826086,0.06280193236714976
sub-3300014,roses_11g_all-cols,1,32,8,0.10526315789473684,0.02631578947368421,0.17777777777777778,0.044444444444444446
sub-3300014,pens_11g_all-cols,0,17,7,0.053125,0.021875,0.0918918918918919,0.03783783783783784
sub-3300014,raspberries_11g_all-cols,1,33,13,0.0967741935483871,0.03812316715542522,0.17277486910994763,0.06806282722513089
sub-3300014,finches_11g_all-cols,1,28,12,0.08832807570977919,0.03785488958990536,0.1564245810055866,0.0670391061452514
sub-3300014,boots_11g_all-cols,1,25,17,0.07102272727272728,0.048295454545454544,0.125,0.085
sub-3300014,cars_11g_all-cols,0,19,14,0.05571847507331378,0.04105571847507331,0.09743589743589744,0.07179487179487179
sub-3300014,giraffe_11g_all-cols,1,34,14,0.09826589595375723,0.04046242774566474,0.17258883248730963,0.07106598984771574
sub-3300014,oak_11g_all-cols,1,44,11,0.1375,0.034375,0.22916666666666666,0.057291666666666664
sub-3300014,sandals_11g_all-cols,1,29,10,0.08405797101449275,0.028985507246376812,0.14795918367346939,0.05102040816326531
sub-3300014,tulips_11g_all-cols,1,21,6,0.06501547987616099,0.018575851393188854,0.10824742268041238,0.030927835051546393
sub-3300014,cupcakes_11g_all-cols,1,38,19,0.1046831955922865,0.05234159779614325,0.19,0.095
sub-3300014,blackberries_11g_all-cols,1,27,8,0.08571428571428572,0.025396825396825397,0.15428571428571428,0.045714285714285714
sub-3300014,pencils_11g_all-cols,0,21,11,0.06441717791411043,0.03374233128834356,0.1099476439790576,0.05759162303664921
sub-3300015,cupcakes_11g_all-cols,1,2,1,0.005509641873278237,0.0027548209366391185,0.01,0.005
sub-3300015,pens_11g_all-cols,1,3,3,0.009375,0.009375,0.016216216216216217,0.016216216216216217
sub-3300015,roses_11g_all-cols,1,4,5,0.013157894736842105,0.01644736842105263,0.022222222222222223,0.027777777777777776
sub-3300015,finches_11g_all-cols,1,10,6,0.031545741324921134,0.01892744479495268,0.055865921787709494,0.0335195530726257
sub-3300015,boots_11g_all-cols,0,5,6,0.014204545454545454,0.017045454545454544,0.025,0.03
sub-3300015,trucks_11g_all-cols,1,2,14,0.005813953488372093,0.040697674418604654,0.010309278350515464,0.07216494845360824
sub-3300015,tulips_11g_all-cols,1,3,10,0.009287925696594427,0.030959752321981424,0.015463917525773196,0.05154639175257732
sub-3300015,blackberries_11g_all-cols,0,3,1,0.009523809523809525,0.0031746031746031746,0.017142857142857144,0.005714285714285714
sub-3300015,oak_11g_all-cols,0,3,7,0.009375,0.021875,0.015625,0.036458333333333336
sub-3300015,sparrows_11g_all-cols,1,4,9,0.012084592145015106,0.027190332326283987,0.021621621621621623,0.04864864864864865
sub-3300015,giraffe_11g_all-cols,1,5,3,0.014450867052023121,0.008670520231213872,0.025380710659898477,0.015228426395939087
sub-3300015,pine_11g_all-cols,0,6,2,0.018575851393188854,0.006191950464396285,0.031088082901554404,0.010362694300518135
sub-3300015,sandals_11g_all-cols,0,3,2,0.008695652173913044,0.005797101449275362,0.015306122448979591,0.01020408163265306
sub-3300015,muffins_11g_all-cols,1,5,4,0.013227513227513227,0.010582010582010581,0.024154589371980676,0.01932367149758454
sub-3300015,raspberries_11g_all-cols,0,4,0,0.011730205278592375,0.0,0.020942408376963352,0.0
sub-3300015,cars_11g_all-cols,1,9,0,0.026392961876832845,0.0,0.046153846153846156,0.0
sub-3300015,elephant_11g_all-cols,1,6,3,0.017341040462427744,0.008670520231213872,0.030303030303030304,0.015151515151515152
sub-3300015,pencils_11g_all-cols,1,6,11,0.018404907975460124,0.03374233128834356,0.031413612565445025,0.05759162303664921
sub-3300016,oak_11g_all-cols,0,16,4,0.05,0.0125,0.08333333333333333,0.020833333333333332
sub-3300016,cars_11g_all-cols,1,13,6,0.03812316715542522,0.017595307917888565,0.06666666666666667,0.03076923076923077
sub-3300016,pine_11g_all-cols,0,14,9,0.043343653250773995,0.02786377708978328,0.07253886010362694,0.046632124352331605
sub-3300016,sandals_11g_all-cols,0,15,6,0.043478260869565216,0.017391304347826087,0.07653061224489796,0.030612244897959183
sub-3300016,boots_11g_all-cols,0,17,4,0.048295454545454544,0.011363636363636364,0.085,0.02
sub-3300016,tulips_11g_all-cols,0,12,7,0.03715170278637771,0.021671826625386997,0.061855670103092786,0.03608247422680412
sub-3300016,giraffe_11g_all-cols,0,12,10,0.03468208092485549,0.028901734104046242,0.06091370558375635,0.050761421319796954
sub-3300016,blackberries_11g_all-cols,0,6,3,0.01904761904761905,0.009523809523809525,0.03428571428571429,0.017142857142857144
sub-3300016,raspberries_11g_all-cols,0,14,5,0.04105571847507331,0.01466275659824047,0.07329842931937172,0.02617801047120419
sub-3300016,cupcakes_11g_all-cols,0,9,6,0.024793388429752067,0.01652892561983471,0.045,0.03
